Seq.,Grp,Sub-Cat,Stock,Description_x,Package,On Hand /cs_x,Shelf Life_x,Arrive Date_x,Lot Number_x,On Hand /cs_y,Shelf Life_y,Arrive Date_y,Lot Number_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,L,17010 * SHOCHIKUBAI SAKE *,8841,SHIRAKABE-GURA KIMOTO JUNMAI,6/640ml (+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,L,17010 * SHOCHIKUBAI SAKE *,8850,SCB SHO JUNMAI GINJO,"12/720ml(-1), JG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,L,17010 * SHOCHIKUBAI SAKE *,8851,SCB SHO GINJO NIGORI,12/720ml(-15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,L,17010 * SHOCHIKUBAI SAKE *,10261,SCB KYOTO FUSHIMIZU JITATE,"6/1.8L(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,L,17010 * SHOCHIKUBAI SAKE *,10262,SCB KYOTO FUSHIMIZU JITATE,"12/720ml(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,L,17010 * SHOCHIKUBAI SAKE *,10263,SCB KYOTO FUSHIMIZU JITATE,"12/300ml(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,L,17010 * SHOCHIKUBAI SAKE *,10264,SCB TEN,"6/2L(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,L,17010 * SHOCHIKUBAI SAKE *,10265,SCB TEN,"6/900ml(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,L,17010 * SHOCHIKUBAI SAKE *,10266,SHIRAKABEGURA JUNMAI DAIGINJO,"12/300ml(0),JD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,L,17010 * SHOCHIKUBAI SAKE *,10267,SHIRAKABEGURA KIMOTO JUNMAI,"12/300ml(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,L,17010 * SHOCHIKUBAI SAKE *,10268,SHIRAKABEGURA YAMAHAI JUNMAI,"12/300ml(+2),JM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,L,17010 * SHOCHIKUBAI SAKE *,10269,SHIRAKABEGURA SET,900ml(3x300ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,L,17010 * SHOCHIKUBAI SAKE *,10270,YUKI NIGORI STRAWBERRY,12/375ml(-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,L,17010 * SHOCHIKUBAI SAKE *,10271,YUKI NIGORI CANTALOUPE,12/375ml(-30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,L,17020 * KIKUMASAMUNE SAKE *,730,KIKUMASA SAKE KIMOTO NO BOX,6/1.8 LIT,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,L,17020 * KIKUMASAMUNE SAKE *,3264,KIKUMASA JUNMAI KIMOTO PACK,6/1.8L CARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,L,17020 * KIKUMASAMUNE SAKE *,3270,300 KIKUMASAMUNE TARU JM SAKE,12/300ml(+5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,L,17020 * KIKUMASAMUNE SAKE *,3272,NEW KIKUMASAMUNE JM TARU SAKE,6/720ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,L,17020 * KIKUMASAMUNE SAKE *,3275 1,NEW KIKUMASAMUNE TARU SAKE,6/720ml (+5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,L,17020 * KIKUMASAMUNE SAKE *,6172,KIKUMASA KINUSHIRO NIGORI JM,6/500ml(-40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,L,17020 * KIKUMASAMUNE SAKE *,6403 1,KIKUMASA CUP SAKE(AL),6/5/180ml(+10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,L,17020 * KIKUMASAMUNE SAKE *,7160 1,KIKUMASA HONKANO HONJOZO (AL),6/720ML (+4.5) W/BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,L,17020 * KIKUMASAMUNE SAKE *,7587,KIKUMASA KIMOTO JUNMAI,12/500ml (+5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,L,17020 * KIKUMASAMUNE SAKE *,7776,KIKUMASA KOUJO JM,12/300ml (-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,L,17020 * KIKUMASAMUNE SAKE *,7778,KIKUMASA KOUJO JM,6/720ml (-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
